stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_direction,stop_bearing
4294,SHNG1,Post Office Sahakara Nagara,13.06132578,77.58735775,Kodigehalli Sahakara Nagara,117.214
4295,NRSH,North Side Hospital,13.06382831,77.58936651,Big Market,7.73744
4296,NRSH1,North Side Hospital,13.06368637,77.58943905,Sahakara Nagara,182.444
4297,SHKRNGRTEM,Ganesha Temple Sahakara Nagara,13.06341915,77.58561295,Kodigehalli Gate,290.401
4298,SHKRNGTM,Ganesha Temple Sahakara Nagara,13.06288709,77.58516519,Sahakara Nagara Police Station,119.760
4299,SNPS,Police Station Sahakara Nagara,13.06409392,77.58348339,Kodigehalli,189.429
4300,SNPS1,Police Station Sahakara Nagara,13.06412401,77.58343089,Kodigehalli Gate,27.6342
4301,KORG1,Railway Gate Kodigehalli,13.06169234,77.57429091,Kodigehalli,306.179
4302,KRG,Railway Gate Kodigehalli,13.06187317,77.57404017,Virupakshapura,316.279
4303,VRPRA,Virupakshapura,13.06378305,77.57174555,Thindlu,339.014
4304,VRPR1,Virupakshapura,13.06374805,77.57181792,Kodigehalli,92.7908
4305,TCRT,Tennis Court Thindlu,13.06825025,77.56945838,Thindlu,163.789
4306,TCRT1,Tennis Court Thindlu,13.06835361,77.56952278,Kodigehalli Railway Gate,316.422
4307,TNDUL1,Thindlu,13.07331319,77.56675205,Tennis Court Thindlu,29.9279
4308,TDL,Thindlu,13.07326474,77.56675293,Nanjappa Circle,40.1191
4309,MYBP,Manyatha Tech Park,13.0411741,77.62122939,Tin Factory,80.8715
4310,MYBP2,Manyatha Tech Park,13.04101981,77.621147,Hebbala,216.457
4311,jnon,Jn of Nagawara,13.04014175,77.62453436,Tin Factory,334.123
4312,HBR,HBR Layout,13.03519764,77.62863344,Tin Factory,148.185
4313,HBR1,HBR Layout,13.03503368,77.6285414,Hebbala,207.387
4314,MNPL,Ramamurthy Nagara Manipal,13.01161371,77.67054656,B Channasandra,135.147
4315,RMPMAP,Ramamurthy Nagara Manipal,13.01166592,77.67058601,KR Puram,50.5135
4317,YYPLY,Yarayyanapalya,13.01153436,77.67336401,KR Puram,293.196
4318,YYPL,Yarayyanapalya,13.01148099,77.67349806,B Channasandra,293.196
4319,RMNALDM,Ramamurthy Nagara Alada Mara,13.01146359,77.67680577,KR Puram,47.2924
4320,RMNADM,Ramamurthy Nagara Alada Mara,13.01136775,77.67685084,B Channasandra,168.621
4321,RMNCH,Ramamurthy Nagara Church,13.01165681,77.67855395,B Channasandra,125.376
4322,,ITI Circle(up),13.00780259,77.68359007,,133.488
4323,ITIC-1,ITI Circle,13.00794803,77.68328225,B Channasandra,155.223
4324,ITIG-1,ITI Colony Gate,13.0050708,77.68509091,Kempegowda Bus Station,146.570
4325,,KHRoad,12.97411481,77.6134944,,
4326,OPRBT,Brigade Road,12.97053919,77.60683984,Adugodi,
4327,OPRBT1,Brigade Road,12.97151413,77.60677546,Adugodi,
4328,BGLC-1,CS-Bengaluru Club,12.96654793,77.59853035,HAL,
4329,COMSTR,Commercial Street (Towards Kamaraja Road),12.98162919,77.6082319,Kamaraja Road Lavanya Talkies,
4330,PHLS,Philomenas Hospital,12.9655024,77.60954618,Mayohall,
4331,DSC-1,D Souza Circle,12.96759868,77.61114478,MG Road,143.293
4332,DSC,D Souza Circle,12.96754116,77.61104017,Kempegowda Bus Station,143.293
4333,PLMSHSP1,Philomenas Hospital,12.96460716,77.61018187,Mayohall ,315.937
4334,CSBRGDR,CS-Brigade Road,12.97238189,77.60714024,Vivekanagara,0.0
4335,SVTGD1,Sivanchetty Gardens,12.98966083,77.61538736,Coles Park,0.0
4336,CMRT,Commercial Street (Towards Shivajinagara),12.98280272,77.60628462,Shivaji Nagara,
4337,HLSL,MEG Centre,12.98753794,77.62211099,Shivaji Nagara,0.0
4338,halsoor,MEG Centre,12.98736283,77.62262061,Halasuru,0.0
4339,PHMH,Philips Millenium Halsooru,12.9819376,77.6238665,Halasuru,0.0
4340,IND-6,Indranagara Depot-6,12.9825309,77.63456315,,0.0
4341,MPGC-1,Maniksha Parade Ground Connector,12.97903381,77.6033932,Manipal Central,
4342,DEPO6,Depot-06 Gate,12.98241066,77.6346758,Kempegowda Bus Station,0.0
4343,BNMGL,Binnamangala (Towards Kempegowda Bus Station),12.98375408,77.63994097,Kempegowda Bus Station,0.0
4344,R CH,R Church,12.98501646,77.64530003,Thippasandra,0.0
4345,SDNG4M,Sadananda Nagara,12.99446191,77.65825242,NGEF,0.0
4346,NGEFKS,NGEF KSRTC Satellite,12.99275789,77.65441418,Benniganahalli Bridge,0.0
4347,A NPR,A Narayanapura,12.99503427,77.67707079,KR Puram,0.0
4348,ANPR1,A Narayanapura,12.99481474,77.67708957,Uday Nagara,0.0
4349,UDYNG,Udaya Nagara,12.99371836,77.67598852,KR Puram Railway Station,0.0
4350,ANPR,Narayanapura,12.9920836,77.67473996,KR Puram Railway Station,0.0
4351,ANPUR,Narayanapura,12.99199212,77.67478556,Kaggadasapura,0.0
4352,VJBC,Vijaya Bank Colony Ring Road,13.01700252,77.66008168,Hebbala,311.204
4353,VJBC1,Vijaya Bank Colony Ring Road,13.01723511,77.65989326,Tin Factory,311.204
4354,HNR21,Hennur,13.03961686,77.64139742,Byrathi Cross,311.204
4355,HNR1,Hennur,13.03939736,77.64148057,Hennur,311.204
4356,HBRL5,5th Block HBR Layout,13.03578414,77.63135523,HBR Layout 5th Block,311.204
4357,HBR5BD,5th Block HBR Layout,13.03584882,77.63142496,Hennur Cross,311.204
4358,HSRBB,3rd Block HRBR Layout,13.03027896,77.63078123,Hebbala,311.204
4359,HSFRBV1,3rd Block HRBR Layout,13.03034363,77.6309482,Tin Factory,311.204
4360,AKTMH,Akkithimmanahalli,12.96220111,77.59655625,Poornima Talkies Double Road,
4361,MIRCR1,Mariyppa Circle,13.02465802,77.63141894,Kacharakanahalli,311.204
4362,MYPCR,Mariyappa Circle,13.02472564,77.63121441,Hennur Cross,311.204
4363,HD-10,Depot-10 Hennuru Gate,13.02632132,77.63172202,Hennur,311.204
4364,KLNGR1,Kalyananagara,13.02644741,77.63707571,Tin Factory,311.204
4365,BMT23,Depot-23 Kalyana Nagara,13.02661922,77.63853014,Depot-23,311.204
4366,,Shanthi layout,13.01740497,77.68499672,,311.204
4367,RKAP,RK Apartment,13.01469759,77.66531467,Kalkere,0.0
4368,RKAPT1,RK Apartment,13.01459306,77.66526371,B Channasandra,0.0
4369,SHNB,Shine Bakery,12.95070639,77.62380749,Vivekangara,
4370,RGCR,Raghavendra Circle,13.01993722,77.67445027,B Channasandra,0.0
4371,FRLND,Fairland Shop,12.95037049,77.6253283,Vivekanagara,
4372,RGC-1,Raghavendra Circle,13.01994245,77.67427862,TC Palya,0.0
4373,NGVG,NGV Gate,12.94929876,77.62039304,,240
4374,KRMPPO1,Passport Office Koramangala,12.9461175,77.61853427,Austin Town,251.010
4375,ANGLP1,Anagalipura,13.06841618,77.68233597,Dodda Gubbi,0.0
4376,ANGLP,Anagalipura,13.06838221,77.68241376,Anagalipura Cross ,0.0
4377,BJLO,Banjara Layout,13.03825546,77.66532809,Hennur ,0.0
4378,BJLO1,Banjara Layout,13.03831817,77.66515642,Kalkere,0.0
4379,KRMPPO,Passport Office Koramangala,12.94547183,77.61927255,Depot-15,251.010
4380,RVTNT,Ravi Tent,12.95120697,77.62142838,Passport Office Koramangala,
4381,SJPPS2,Police Station Sarjapura,12.86086204,77.782951,Sarjapura,
4382,SJPBSND,Sarjapura,12.86124512,77.7856198,Chikka Thirupathi,
4383,DTMSD,Dodda Thimmasandra,12.88099024,77.80606962,Kuthaganahalli,
4384,DTMSR,Dodda Thimmasandra,12.88086604,77.80619368,Dodda Thimmasandra Gate,
4385,BKHSH,Bikkana Hosahalli,12.8476171,77.76370079,Sompura Gate,
4386,YDHLI,Yarandahalli,12.80844373,77.66551919,Hebbagodi,
4387,DRG,Biocon Jigani Road,12.80824169,77.66381532,Bommasandra ,
4388,KLSNCRS,Kyalasanahalli Cross,12.80314409,77.65147984,Vabasandra,
4389,LNGPR,Lingapura,12.82141023,77.44410753,Thippuru,
4390,DTGR2,Dodda Thoguru,12.85062965,77.65505791,Konappana Agarahara ,
4391,,Kengeri last stop satellite up,12.92247248,77.48613507,,
4392,,Kengeri last stop satellite dwn,12.9223313,77.48601973,,
4393,GGH8,Gangondanahalli,13.02156527,77.46761643,Madanayakanahalli,
4394,GGH5,Gangondanahalli,13.02157246,77.46766604,Magadi Road,
4395,KCH0,Kachohalli,13.00022009,77.47062452,Kachohalli Gate,
4396,KCH,Kachohalli,13.00016456,77.47057825,Gangondanahalli,
4397,VMN1,Vidyamanya Nagara,13.00458388,77.48745471,Herohalli Cross,
4398,VMN,Vidyamanya Nagara,13.0046074,77.48732865,Andrahalli,
4399,ACRC,Acharya College (Towards Herohalli Cross),13.00230235,77.4882245,Herohalli Cross,
4400,SNDBLO,Syndicate Bank Layout,12.99805287,77.48931348,Andrahalli,
4401,SNDBLO1,Syndicate Bank Layout,12.9979431,77.48943955,Herohalli Cross,
4402,VNKTLO,Venkateshwara Layout,12.99327015,77.48856247,Magadi Road,
4403,VTLO,Venkateshwara Layout,12.99337469,77.48852223,Andrahalli,
4404,TNGN,Thunga Nagara,12.99191829,77.48512655,Thunga Nagara,
4405,TNGN10,Thunga Nagara,12.99184576,77.4851688,Sunkadakatte,
4406,ITGLP,Ittagalpura,13.17070413,77.54249688,Byatha,0.0
4407,ITGLPG1,Ittagalpura Gate,13.1700474,77.55028153,Madhure,112.199
4408,ITGLPG,Ittagalpura Gate,13.17009206,77.55032095,Rajanukunte,54.0999
4409,CBLF,Cable Factory Ittagallapura,13.17396787,77.54047591,Seethakempanahalli,105.199
4410,CBLF1,Cable Factory Ittagallapura,13.17402848,77.54040908,Rajanukunte,308.299
4411,DIBR,Dibbur,13.16677922,77.52869881,Koluvarayanahalli,22.6000
4412,DBRU,Dibbur,13.16687623,77.5288231,Honnenahalli,127.900
4413,KKL1,Kakolu,13.18418686,77.51855646,Rajanukunte,216.100
4414,KKL,Kakolu,13.18414235,77.51851597,Byatha,0.0
4415,KKLV,Kakolu Village,13.18710562,77.52009567,Shanubhoganahalli,96.8000
4416,KKL2,Kakolu Village,13.18701638,77.52002772,Kakolu Village,204.199
4417,BDMH,Budumanahalli,13.19091769,77.52797828,Rajanukunte,0.0
4418,BDMHL,Budumanahalli,13.19088522,77.52782057,Budumanahalli,0.0
4419,ABRPR,Arakere Byrapura,13.20015497,77.53796299,Byrapura,244.600
4420,ABRPR1,Arakere Byrapura,13.20030023,77.53803049,Kadatamale,331.399
4421,KDTML,Kadathanamale,13.20943752,77.54623247,Aradeshanahalli Gate,0.0
4422,KDTMLG1,Kadathanamale,13.20965161,77.54671233,Arakere Byrapura,42.5999
4423,KDTMLG,Kadathanamale gate,13.2150979,77.55318516,Yelahanka,120.699
4424,KDTNMG,Kadathanamale gate,13.21515301,77.55309298,Doddaballapura,0.0
4425,OLDGU,Old Guddadahalli,12.96106669,77.55090505,,183.199
4426,OLDG,Old Guddadahalli,12.96090725,77.55093187,Sirsi Circle,183.199
4427,KHLI,Kakkehalli,13.21527893,77.52804449,Byrapura,0.0
4428,ADHG1,Aradeshanahalli Gate (Towards Doddaballapura Road),13.2164112,77.55249377,Doddaballapura,0.0
4429,KMPRURA,Railway Gate Kempapura,12.96902321,77.55934329,Kempapura Agarahara,183.199
4430,KMPAGAR,Kempapura Agarahara,12.96903626,77.55458772,Kempapura Agarahara,183.199
4431,MANTC,Mantapa Cross,12.79857032,77.60161921,Jangal Palya Gate,228.161
4432,KLSBS,Kaleshwari Bannerughatta Road,12.79346389,77.59409928,Ragihalli,193.730
4433,CDA11th M,11th Mile Cross Channadevi Agrahara,13.2253636,77.47056713,Kadanur,0.0
4434,CDA11M,11th Mile Cross Channadevi Agrahara,13.22530676,77.47059969,Channadevi Agrahara,0.0
4435,RGHHG,Ragihalli cross,12.76821168,77.58474918,,204.783
4436,CDA 11thM,11th Mile Channadevi Agrahara,13.22375363,77.46812937,Channadevi Agrahara,18.5
4437,11thM CDA1,11th Mile Channadevi Agrahara,13.22381253,77.46803634,Kadanuru,283.700
4438,SRS3,SRS Mathikere,13.06145312,77.53105469,Abbigere,183.199
4439,SRS5,SRS Mathikere,13.06142699,77.53108084,Kammagondanahalli,183.199
4440,CDA,Channadevi Agrahara (Towards Doddaballapura),13.21787826,77.45816197,Doddaballapura,0.0
4441,RGHJ,RamanayakanaDoddy Cross,12.74561133,77.5757382,Kaleshwari,145.147
4442,CDVCR,Channadevi Agrahara (Towards Channadevi Agrahara Cross ),13.2178404,77.45818268,Channadevi Agrahara Cross ,234.899
4443,CDA7,Channadevi Agrahara Cross,13.21562754,77.45549018,Mallohalli,0.0
4444,RGHLI,Ragihalli,12.73880716,77.57435465,Shivanahalli,206.554
4445,CDA8,Channadevi Agrahara Cross,13.2156101,77.45555057,Madhure,0.0
4446,RMCNP,Ramachandrapura Tent,13.05778079,77.55139924,BEL Circle,183.199
4447,RMCPR12,Ramachandrapura,13.06205798,77.55113773,BEL Circle,183.199
4448,RMCP,Ramachandrapura Tent,13.05781605,77.55135298,Dodda Bommasandra,183.199
4449,RMCPR,Ramachandrapura,13.06208477,77.55110957,Vidyaranyapura,183.199
4450,JALHE,Jalahalli East,13.06762712,77.54464745,Gangamma Circle,183.199
4451,JLHE,Jalahalli East,13.06764803,77.54451334,MS Palya,183.199
4452,KRTD1,Koratagere Doddy,12.72934944,77.57047319,Shivanahalli,208.276
4453,KNDV1,Kendriya Vidyalaya,13.06498301,77.54405737,MS Palya,183.199
4454,KNDV,Kendriya Vidyalaya,13.06498301,77.54423976,Gangamma Circle,183.199
4455,HGMR,Hongemara Shivanahalli,12.72442466,77.5699008,Shivanahalli,179.277
4456,PPGLO,Patel Pillegowda Layout,13.0655134,77.5526505,Vidyaranyapura,183.199
4457,PPGL2,Patel Pillegowda Layout,13.06541934,77.55263776,BEL Market,183.199
4458,LKRG,Lakeshore Garden,13.06989302,77.56479956,Thindlu,183.199
4459,SVNHBS1,Shivanahalli,12.72333275,77.57245495,Ragihalli,63.3725
4460,LKRG1,Lakeshore Garden,13.06984338,77.56476805,Nanjappa Circle,183.199
4461,VIDR3B,3rd Block Vidyaranyapura,13.07237379,77.55640962,Vidyaranyapura,183.199
4462,VIDR3BL,3rd Block Vidyaranyapura,13.07235877,77.55643845,Dodda Bommasandra,183.199
4463,SNGL1,Singapura Layout,13.07500804,77.53983021,MS Palya,183.199
4464,SNGL,Singapura Layout,13.07498191,77.53998846,Kuvempu Nagara,183.199
4465,JPRD ?,Jaypura Doddy,12.70870547,77.56932189,Shivanahalli,166.089
4466,KRYPND,Kariyappana Doddy,12.71047902,77.57932887,Koratagere Doddy Bannerughatta,32.8144
4467,KRYD1,Kariyappana Doddy,12.71031646,77.5794601,Jaipura Doddy,192.737
4468,JPRD,Jaypura Doddy,12.70869037,77.56939063,Ujinappana Doddy,16.7958
4469,SHNHBS,Shivanahalli,12.72332737,77.57256089,Jaypura Doddy,157.312
4470,HGMRBS,Hongemara Shivanahalli,12.72445181,77.56984997,Ragihalli,357.114
4471,KRTD,Koratagere,12.72938034,77.57039069,Ragihalli,0.0
4472,RGH,Ragihalli,12.7389626,77.57426139,Bannerughatta,8.40784
4473,ARKRGB,Arakere Colony,13.18489459,77.54422704,Arakere Byrapura,350.600
4474,ARKR2,Arakere,13.18490484,77.54426849,Budamanahalli Cross,92.8000
4475,RGHJN,RamanayakanaDoddy Cross,12.74563545,77.57583897,Ragihalli,85.7363
4476,ANYND,Annayyana Doddy,12.74569457,77.58009663,Ramanayakana Doddy Cross,60.1188
4477,BDMHC,Budumanahalli Cross,13.18600051,77.54022962,Rajanukunte,28.2000
4478,BDMHC1,Budumanahalli Cross,13.18591781,77.54021294,Budumanahalli,0.0
4479,SVKDDI,Sevanayakanahalli,12.74031283,77.58372534,Ramanayakana Doddy,107.609
4481,SBHL1,Shanubhoganahalli,13.17915229,77.53129343,Rajanukunte,0.0
4482,SBHL,Shanubhoganahalli,13.17918396,77.53124062,Budumanahalli,0.0
4484,RMND1,RamanayakanaDoddy,12.7381406,77.58877064,Ragihalli,297.411
4485,SVNKNH,Sevanayakanahalli,12.7403946,77.5832498,Ragihalli Gate,274.041
4486,ADC,Annayyana Doddy Cross,12.74440265,77.57762176,Annayana Doddy,293.073
4487,SBHLC,Shanubhoganahalli Colony,13.17391666,77.52996507,Shanubhoganahalli,0.0
4488,SBHLC1,Shanubhoganahalli Colony,13.17382428,77.53003424,Rajanukunte,167.5
4489,DBRC1,Dibbur Cross (Towards Rajanukunte),13.17263502,77.53021576,Rajanukunte,0.0
4490,DBRC,Dibbur Cross (Towards Byatha),13.17252722,77.53026229,Byatha,0.0
4491,KLLLR,Kaleshwari Bannerughatta Road,12.79364619,77.59401449,Mantapa Cross,6.14404
4492,MANTPC,Mantapa Cross,12.79870477,77.60158338,Begihalli,326.170
4493,SBSKL1,Sri Banashankari Layout,13.17151636,77.55802467,Madhure,0.0
4494,SBSKL,Sri Banashankari Layout,13.1715396,77.55796254,Rajanukunte,0.0
4495,,Bannerghatta kaglipura road,12.8140256,77.58081826,,303.093
4496,BNGC,Bannerughatta Circle (Towards Kaggalipura),12.81387084,77.58094877,Kaggalipura,315.299
4497,SPGT3,Sipgere Gate,12.82197945,77.57734874,Bannerughatta,8.90115
